PTS subset change summary:
────────────────────────────────
-> 102 tests analyzed | 52 ↑ promoted | 49 ↓ demoted
-> Code files affected: src/calculator/custom_op_18.py
────────────────────────────────

Δ Rank      Subset Rank  Test Name                                                                                                  Reason                                          Density
↓72                  81  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_10-49]   Changed file: src/calculator/custom_op_18.py   0.745919
↑7                   82  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_67-448]  Changed file: src/calculator/custom_op_18.py   0.745919
↓42                  83  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_44-287]  Changed file: src/calculator/custom_op_18.py   0.745919
↓9                   84  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_34-217]  Changed file: src/calculator/custom_op_18.py   0.745919
↓21                  85  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_15-84]   Changed file: src/calculator/custom_op_18.py   0.745919
↓1                   86  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_73-490]  Changed file: src/calculator/custom_op_18.py   0.745919
↓33                  87  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_op_98                         Changed file: src/calculator/custom_op_18.py   0.745919
↓77                  88  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_27-168]  Changed file: src/calculator/custom_op_18.py   0.745919
↓73                  89  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_16-91]   Changed file: src/calculator/custom_op_18.py   0.745919
↓86                  90  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_66-441]  Changed file: src/calculator/custom_op_18.py   0.745919
↓61                  91  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_58-385]  Changed file: src/calculator/custom_op_18.py   0.745919
↑4                   92  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_82-553]  Changed file: src/calculator/custom_op_18.py   0.745919
↓6                   93  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_85-574]  Changed file: src/calculator/custom_op_18.py   0.745919
↓73                  94  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_37-238]  Changed file: src/calculator/custom_op_18.py   0.745919
↓33                  95  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_40-259]  Changed file: src/calculator/custom_op_18.py   0.745919
↓46                  96  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_88-595]  Changed file: src/calculator/custom_op_18.py   0.745919
↓62                  97  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_47-308]  Changed file: src/calculator/custom_op_18.py   0.745919
↓70                  98  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_92-623]  Changed file: src/calculator/custom_op_18.py   0.745919
↓7                   99  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_13-70]   Changed file: src/calculator/custom_op_18.py   0.745919
↓95                 100  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_69-462]  Changed file: src/calculator/custom_op_18.py   0.745919
↓10                 101  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_43-280]  Changed file: src/calculator/custom_op_18.py   0.745919
↓78                 102  file=test/test_calculator.py#class=test.test_calculator#testcase=test_custom_operations[custom_op_20-119]  Changed file: src/calculator/custom_op_18.py   0.745919
